Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
HINDPETRO,Hindustan Petroleum Corporation Limited,Midcap,330.0,11.65,0.92,38.66,28.33,295.37,457.15,2.68,-64.36,1.38,3.76,0.2,0.61,40.45,7.1,53.7,1.53,1.58,buy,398.39,Neutral,4,1,10,8,10,2,2,10,4,8,8,6,5.87,38.0
MUTHOOTFIN,Muthoot Finance Limited,Midcap,2188.2,18.78,0.99,52.49,116.53,1261.9,2308.95,24.7,17.46,45.63,,114.56,114.56,19.12,4.82,62.29,3.3,3.01,none,2181.1,Neutral,10,8,8,2,10,10,0,8,2,6,0,6,6.879999999999999,29.0
GMRAIRPORT,GMR Airports Limited,Midcap,72.75,,0.82,40.35,-0.35,68.9,103.75,21.67,,-2.76,35.03,0.88,1.06,-1671.32,2.06,70.61,,,buy,81.67,Neutral,10,0,10,6,10,2,10,2,0,4,8,6,5.820000000000001,40.0
PHOENIXLTD,The Phoenix Mills Limited,Midcap,1576.8,53.88,0.71,45.78,29.03,1215.4,2068.5,,1.0,25.89,55.38,0.92,1.51,11.36,6.53,45.83,,0.35,buy,1754.0,Neutral,0,4,10,6,8,10,10,6,10,6,8,6,6.719999999999999,32.0
CUMMINSIND,Cummins India Limited,Midcap,2836.3,39.09,0.9,46.08,72.49,2520.05,4171.9,18.85,31.29,19.62,22.59,2.32,2.89,27.82,13.42,67.01,,0.0,buy,3382.44,Neutral,8,10,10,6,10,8,8,10,10,10,8,6,9.32,3.0
KPITTECH,KPIT Technologies Limited,Midcap,1364.0,49.69,1.06,47.32,27.78,1223.25,1928.7,23.14,40.01,13.48,18.6,1.21,1.33,31.28,13.14,-3.17,14.98,0.14,buy,1693.28,Neutral,10,10,10,8,10,6,8,10,10,10,8,6,9.62,1.0
TATACOMM,Tata Communications Limited,Midcap,1605.8,40.89,1.52,35.74,39.19,1550.0,2175.0,15.63,14.77,4.87,16.92,0.36,0.44,58.08,4.88,-3.78,24.46,6.97,hold,1839.43,Neutral,8,6,10,6,4,2,6,10,2,6,6,6,6.759999999999998,31.0
INDHOTEL,The Indian Hotels Company Limited,Midcap,748.0,59.01,0.46,44.47,12.67,506.45,894.9,20.28,53.98,22.56,33.09,1.39,1.54,14.17,8.09,100.43,,0.26,buy,860.22,Neutral,10,10,10,6,4,8,10,6,10,8,8,6,8.92,7.0
ALKEM,Alkem Laboratories Limited,Midcap,4616.8,26.12,0.49,29.63,180.09,4407.05,6439.9,0.97,36.88,16.88,19.34,1.68,2.61,17.98,8.38,8.29,4.89,0.12,hold,5395.95,Neutral,2,10,4,6,4,6,8,8,10,8,6,6,6.859999999999999,30.0
NMDC,NMDC Limited,Midcap,61.5,8.35,0.93,39.15,7.37,59.7,95.45,13.16,0.72,27.69,34.92,1.99,2.56,23.07,13.21,-5.49,,0.15,hold,75.28,Neutral,8,4,10,8,10,10,10,8,10,10,6,6,8.759999999999998,8.0
ASTRAL,Astral Limited,Midcap,1416.55,72.28,0.54,30.61,19.58,1416.05,2454.0,4.59,-7.77,9.11,15.73,0.89,1.77,17.52,10.25,-13.38,11.27,0.06,buy,1811.09,Neutral,4,1,10,8,8,4,6,8,10,10,8,6,6.67,34.0
BHARATFORG,Bharat Forge Limited,Midcap,1119.7,56.17,1.05,32.82,20.34,1074.45,1804.5,8.14,41.55,5.98,16.88,0.53,1.04,12.61,6.2,38.87,,1.08,hold,1405.04,Neutral,6,10,10,8,10,4,6,6,6,6,6,6,7.5600000000000005,21.0
POLYCAB,Polycab India Limited,Midcap,5399.15,45.18,0.64,32.32,121.92,4278.0,7605.0,25.3,10.3,8.75,12.64,1.04,2.32,22.17,12.34,32.81,9.13,0.02,buy,7434.17,Neutral,10,6,10,10,8,4,6,8,10,10,8,6,8.520000000000001,10.0
LUPIN,Lupin Limited,Midcap,2067.6,32.88,0.59,42.72,62.7,1493.3,2402.9,15.19,97.05,12.26,21.46,1.01,1.88,18.27,9.52,87.33,,0.22,hold,2270.88,Neutral,8,10,10,4,8,6,8,8,10,8,6,6,8.360000000000001,14.0
VOLTAS,Voltas Limited,Midcap,1292.65,59.71,0.44,32.94,21.65,1023.95,1944.9,32.16,156.66,4.83,6.59,0.91,1.34,4.37,2.54,82.96,6.81,0.14,buy,1553.76,Neutral,10,10,10,8,4,2,4,2,10,4,8,6,7.120000000000001,26.0
UPL,UPL Limited,Midcap,610.7,,1.05,60.24,-1.2,429.52,649.45,-0.98,,-0.21,12.05,0.95,1.46,-5.51,1.96,-4.12,,1.05,buy,666.13,Neutral,2,0,8,4,10,2,6,2,6,4,8,6,4.12,47.0
GODREJPROP,Godrej Properties Limited,Midcap,2025.95,38.1,0.97,34.11,53.17,2025.95,3402.7,29.84,121.92,35.23,1.61,0.25,1.43,7.63,-0.3,49.92,5.19,1.22,buy,3144.61,Neutral,10,10,10,10,10,10,2,4,6,2,8,6,8.020000000000001,16.0
SUNDARMFIN,Sundaram Finance Limited,Midcap,4345.05,30.08,0.52,44.85,144.66,3622.25,5535.85,20.36,-0.45,40.02,,4.41,4.49,15.53,3.06,18.11,3.83,3.82,hold,4491.22,Neutral,10,1,10,4,8,10,0,8,2,4,6,6,6.1099999999999985,37.0
AUROPHARMA,Aurobindo Pharma Limited,Midcap,1147.7,19.19,0.64,43.85,59.81,958.5,1592.0,10.85,26.62,11.29,21.25,0.96,1.98,11.18,6.46,22.03,2.17,0.27,buy,1503.21,Neutral,8,10,10,10,8,4,8,6,10,6,8,6,8.42,13.0
ABCAPITAL,Aditya Birla Capital Limited,Midcap,160.62,11.35,1.22,35.29,14.13,160.0,246.9,26.58,32.53,12.73,,3.14,3.28,13.63,1.67,7.15,1.46,3.99,strong_buy,246.44,Neutral,10,10,10,10,6,6,0,6,2,4,0,6,7.18,23.0
APLAPOLLO,APL Apollo Tubes Limited,Midcap,1406.6,60.11,0.79,32.71,22.86,1305.0,1728.95,12.19,-10.96,3.18,5.43,0.61,1.34,22.16,9.8,2.07,,0.27,buy,1771.06,Neutral,8,1,10,8,8,2,4,8,10,8,8,6,6.669999999999999,35.0
