Stock Symbol,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price
CONCOR,Midcap,748.50,35.32,0.62,38.07,20.86,725.00,"1,180.00",7.14%,7.18%,14.20%,21.77%,3.27,3.79,10.62%,6.24%,28.22%,3.69,0.07,hold,915.82355
MPHASIS,Midcap,"2,937.10",33.76,0.76,53.98,86.55,"2,187.00","3,237.95",5.64%,4.87%,11.80%,15.98%,1.47,1.58,18.59%,8.98%,4.43%,n/a,0.20,buy,3191.121
POLICYBZR,Midcap,"1,648.05",369.24,0.52,37.32,4.45,852.00,"2,246.90",39.97%,Data not found,5.06%,-2.80%,5.92,6.05,3.54%,-1.55%,115.06%,12.55,0.05,hold,1758.45
DIXON,Midcap,"15,433",111.60,0.54,39.63,138.28,"5,800","19,149",106.39%,130.84%,2.38%,3.48%,0.60,1.02,24.94%,5.75%,174.32%,39.23,0.31,buy,16620.0
MRF,Midcap,"111,256",24.23,0.39,19.69,"4,592.00","110,100","151,445",10.12%,15.18%,7.32%,15.34%,0.74,1.42,11.63%,6.12%,29.10%,2.67,0.18,none,118412.555
ACC,Midcap,"1,988.00",14.47,0.48,49.97,137.86,"1,838.60","2,844.00",8.05%,59.48%,12.42%,16.26%,1.03,1.60,15.33%,6.17%,-6.84%,2.26,0.03,buy,2547.6858
HINDPETRO,Midcap,345.95,12.21,0.97,33.95,28.33,286.77,457.15,2.68%,-64.36%,1.38%,3.76%,0.20,0.61,40.45%,7.10%,53.70%,1.61,1.58,buy,399.35416
MUTHOOTFIN,Midcap,"2,109.00",18.36,0.98,46.44,116.53,"1,261.90","2,275.00",24.70%,17.46%,45.63%,Data not found,114.56,114.56,19.12%,4.82%,62.29%,3.23,3.01,none,2161.1
GMRAIRPORT,Midcap,70.51,n/a,0.80,33.47,-1.24,69.27,103.75,23.47%,Data not found,-8.99%,33.80%,0.63,0.88,-1671.32%,2.07%,176.31%,n/a,n/a,none,85.33333
PHOENIXLTD,Midcap,"1,483.95",50.26,0.71,40.46,33.74,"1,135.05","2,068.50",Data not found,30.55%,26.19%,55.46%,0.31,0.73,10.80%,6.24%,104.48%,n/a,0.35,buy,1674.4706
CUMMINSIND,Midcap,"2,723.50",39.41,0.90,22.46,70.34,"2,190.05","4,171.90",17.27%,34.89%,20.13%,23.30%,2.35,2.99,29.89%,14.80%,124.77%,n/a,0.00,hold,3624.08
KPITTECH,Midcap,"1,301.50",48.87,1.05,37.44,26.63,"1,268.95","1,928.70",27.88%,49.35%,13.45%,18.48%,1.14,1.30,33.43%,13.69%,41.60%,14.12,0.14,buy,1701.0555
TATACOMM,Midcap,"1,570.25",42.07,1.51,37.19,39.19,"1,551.55","2,175.00",15.63%,14.77%,4.87%,16.92%,0.36,0.44,58.08%,4.88%,-3.78%,25.17,6.97,hold,1839.4286
INDHOTEL,Midcap,781.20,60.01,0.46,41.99,12.67,473.60,894.90,20.28%,53.98%,22.56%,33.09%,1.39,1.54,14.17%,8.09%,100.43%,n/a,0.26,buy,856.8261
ALKEM,Midcap,"4,930.70",27.96,0.44,27.46,177.51,"4,407.05","6,439.90",3.89%,48.12%,16.54%,20.09%,1.15,2.66,19.53%,8.99%,67.86%,5.16,0.12,hold,5801.952
NMDC,Midcap,64.90,9.32,0.93,42.06,6.91,59.70,95.45,17.14%,3.68%,27.34%,35.21%,1.90,2.37,22.95%,12.85%,65.61%,n/a,0.15,hold,79.51851
ASTRAL,Midcap,"1,460.30",74.71,0.54,30.83,19.57,"1,431.10","2,454.00",6.07%,-4.33%,9.14%,15.93%,0.67,1.80,15.99%,9.81%,4.03%,11.65,0.06,buy,2011.9524
BHARATFORG,Midcap,"1,197.35",60.42,1.05,41.43,20.34,"1,063.00","1,804.50",8.14%,41.55%,5.98%,16.88%,0.53,1.04,12.61%,6.20%,38.87%,n/a,1.08,hold,1412.8334
POLYCAB,Midcap,"5,626.10",46.29,0.67,27.39,121.92,"4,236.00","7,605.00",25.30%,10.30%,8.75%,12.64%,1.04,2.32,22.17%,12.34%,32.81%,9.35,0.02,buy,7480.4644
LUPIN,Midcap,"2,079.00",36.10,0.59,38.00,57.41,"1,436.35","2,402.90",15.19%,97.05%,12.26%,21.46%,1.01,1.88,18.27%,9.52%,87.33%,n/a,0.22,buy,2243.1428
VOLTAS,Midcap,"1,423.95",84.73,0.45,24.09,16.74,990.10,"1,944.90",35.36%,177.73%,3.86%,5.69%,0.94,1.46,9.13%,4.45%,113.73%,7.48,0.14,hold,1785.1818
UPL,Midcap,542.35,n/a,1.05,51.74,-21.35,447.80,625.00,-10.65%,-,-4.85%,6.87%,0.73,1.35,-5.51%,1.96%,-0.49%,n/a,1.05,buy,613.4944
GODREJPROP,Midcap,"2,201.15",41.98,0.95,33.21,49.92,"2,097.05","3,402.70",14.97%,109.55%,38.70%,0.25%,0.23,1.40,13.53%,-0.08%,103.41%,5.37,1.22,buy,3351.8333
SUNDARMFIN,Midcap,"4,409.60",31.03,0.51,47.35,142.12,"3,462.00","5,535.85",23.40%,3.95%,40.41%,Data not found,7.16,7.17,14.16%,2.78%,71.65%,3.89,3.82,none,4415.222
AUROPHARMA,Midcap,"1,154.40",19.19,0.63,41.37,61.31,958.50,"1,592.00",12.41%,54.79%,11.82%,21.11%,0.85,1.83,12.13%,6.77%,58.35%,2.22,0.27,buy,1535.25
ABCAPITAL,Midcap,165.10,11.59,1.22,31.81,14.25,163.35,246.90,15.35%,-32.36%,12.95%,Data not found,93.69,120.13,13.52%,1.68%,32.29%,1.50,3.99,none,263.0
APLAPOLLO,Midcap,"1,482.15",66.34,0.79,51.43,22.86,"1,305.00","1,728.95",12.19%,-10.96%,3.18%,5.43%,0.61,1.34,22.16%,9.80%,2.07%,n/a,0.27,buy,1771.2667
SAIL,Midcap,103.43,16.91,1.68,37.06,6.12,99.66,175.35,-7.63%,-21.60%,2.53%,10.49%,0.15,0.88,4.45%,2.58%,50.62%,0.74,0.72,underperform,112.26923
ASHOKLEY,Midcap,203.46,22.07,0.83,37.77,8.94,157.55,264.65,4.04%,23.17%,5.65%,18.23%,0.41,1.15,23.31%,7.39%,33.01%,5.63,3.33,buy,253.05263
MAXHEALTH,Midcap,"1,031.75",94.37,0.27,39.25,10.84,706.45,"1,227.95",20.06%,6.57%,17.63%,26.42%,1.16,1.26,12.72%,7.05%,73.79%,n/a,0.20,buy,1103.8096
LTF,Midcap,139.90,13.82,1.27,44.74,10.24,129.20,194.25,10.42%,12.34%,32.27%,Data not found,2.09,2.12,10.27%,2.22%,-17.40%,1.45,3.49,buy,178.7143
PETRONET,Midcap,303.15,12.80,0.54,36.80,24.29,253.40,384.20,-0.44%,3.93%,6.93%,9.39%,2.72,3.10,22.36%,11.57%,55.49%,2.46,0.15,hold,331.34375
OFSS,Midcap,"9,299.00",35.13,0.46,28.61,262.84,"6,381.00","13,220.00",9.22%,6.89%,33.90%,44.56%,5.48,6.10,30.74%,19.61%,203.77%,n/a,0.00,buy,11400.0
PERSISTENT,Midcap,"5,878.90",71.06,0.73,43.89,85.30,"3,232.05","6,788.90",19.17%,27.23%,11.66%,16.23%,1.55,1.89,24.51%,12.43%,75.02%,15.26,0.08,hold,6117.706
PIIND,Midcap,"3,387.35",28.80,0.68,30.19,117.02,"3,254.55","4,804.05",10.02%,18.69%,22.39%,27.62%,2.73,3.46,20.26%,10.77%,34.62%,n/a,0.02,buy,4418.963
OBEROIRLTY,Midcap,"1,696.35",23.74,0.67,25.92,70.97,"1,273.60","2,343.65",31.59%,59.41%,47.34%,59.96%,0.68,3.89,14.79%,7.78%,60.15%,4.14,0.14,hold,2067.75
INDUSTOWER,Midcap,350.35,9.34,0.35,49.95,37.37,206.35,460.35,5.07%,80.45%,33.82%,60.73%,0.91,1.44,34.76%,15.72%,68.10%,2.84,0.63,hold,409.5
HDFCAMC,Midcap,"3,877.80",33.69,0.75,31.99,110.24,"3,406.30","4,864.00",31.73%,32.39%,60.80%,81.00%,27.16,27.32,29.47%,22.04%,31.18%,11.68,n/a,buy,4717.8
CGPOWER,Midcap,595.45,102.21,1.39,33.21,9.43,420.25,874.70,17.00%,31.84%,16.38%,12.97%,1.19,1.71,30.10%,11.48%,71.79%,25.80,0.01,buy,773.0
SUZLON,Midcap,50.14,71.45,1.37,27.73,0.70,35.50,86.04,32.82%,52.73%,12.24%,15.29%,0.72,1.71,23.70%,8.70%,239.43%,14.91,0.06,buy,75.0
IDEA,Midcap,9.04,n/a,0.64,54.71,-4.92,6.61,19.18,0.48%,Data not found,-66.28%,25.50%,0.32,0.64,-,-1.52%,27.33%,n/a,n/a,hold,8.04545
SUPREMEIND,Midcap,"3,546.30",44.09,0.78,20.84,80.43,"3,528.05","6,460.00",7.22%,-4.89%,9.80%,14.22%,1.41,2.58,22.49%,12.87%,3.47%,8.49,0.01,buy,4763.6665
IDFCFIRSTB,Midcap,58.61,21.57,0.94,30.81,2.65,57.25,86.10,8.74%,-40.63%,Data not found,Data not found,Data not found,Data not found,5.87%,1.10%,-26.41%,n/a,n/a,hold,67.15789
AUBANK,Midcap,563.45,20.76,0.96,43.40,27.14,534.45,755.40,33.44%,14.67%,Data not found,Data not found,Data not found,Data not found,13.04%,1.54%,-20.98%,2.61,n/a,hold,667.0
