Stock Symbol,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price
POLYCAB,Midcap,"5,643.50",48.52,0.67,30.87,121.92,"4,236.00","7,605.00",25.30%,10.30%,8.75%,12.64%,1.04,2.32,22.17%,12.34%,32.81%,9.81,0.02,buy,7480.4644
LUPIN,Midcap,"2,079.00",37.06,0.59,38.58,57.41,"1,436.35","2,402.90",15.19%,97.05%,12.26%,21.46%,1.01,1.88,18.27%,9.52%,87.33%,n/a,0.22,buy,2243.1428
VOLTAS,Midcap,"1,420.10",84.73,0.45,24.09,16.74,990.10,"1,944.90",35.36%,177.73%,3.86%,5.69%,0.94,1.46,9.13%,4.45%,113.73%,7.68,0.14,hold,1785.1818
UPL,Midcap,542.35,n/a,1.05,51.74,-21.35,447.80,625.00,-10.65%,-,-4.85%,6.87%,0.73,1.35,-5.51%,1.96%,-0.49%,n/a,1.05,buy,613.4944
GODREJPROP,Midcap,"2,095.75",41.98,0.95,23.92,49.92,"2,080.10","3,402.70",14.97%,109.55%,38.70%,0.25%,0.23,1.40,13.53%,-0.08%,103.41%,5.37,1.22,buy,3351.8333
SUNDARMFIN,Midcap,"4,409.60",31.03,0.51,51.73,142.12,"3,462.00","5,535.85",23.40%,3.95%,40.41%,Data not found,7.16,7.17,14.16%,2.78%,71.65%,3.89,3.82,none,4415.222
AUROPHARMA,Midcap,"1,175.05",19.19,0.63,46.55,61.31,958.50,"1,592.00",12.41%,54.79%,11.82%,21.11%,0.85,1.83,12.13%,6.77%,58.35%,2.22,0.27,buy,1535.25
ABCAPITAL,Midcap,165.40,11.59,1.22,31.81,14.25,163.35,246.90,15.35%,-32.36%,12.95%,Data not found,93.69,120.13,13.52%,1.68%,32.29%,1.50,3.99,strong_buy,263.0
APLAPOLLO,Midcap,"1,515.95",66.34,0.79,51.43,22.86,"1,305.00","1,728.95",12.19%,-10.96%,3.18%,5.43%,0.61,1.34,22.16%,9.80%,2.07%,n/a,0.27,buy,1771.2667
SAIL,Midcap,105.45,16.91,1.68,37.06,6.12,99.66,175.35,-7.63%,-21.60%,2.53%,10.49%,0.15,0.88,4.45%,2.58%,50.62%,0.74,0.72,underperform,112.26923
ASHOKLEY,Midcap,204.30,22.07,0.83,38.18,8.94,157.55,264.65,4.04%,23.17%,5.65%,18.23%,0.41,1.15,23.31%,7.39%,33.01%,5.63,3.33,buy,253.05263
MAXHEALTH,Midcap,"1,028.00",94.37,0.27,39.25,10.84,694.80,"1,227.95",20.06%,6.57%,17.63%,26.42%,1.16,1.26,12.72%,7.05%,73.79%,n/a,0.20,buy,1103.8096
LTF,Midcap,135.58,13.82,1.27,48.02,10.24,129.20,194.25,10.42%,12.34%,32.27%,Data not found,2.09,2.12,10.27%,2.22%,-17.40%,1.45,3.49,buy,178.7143
PETRONET,Midcap,322.70,11.80,0.54,44.39,26.35,253.40,384.20,2.12%,13.23%,7.19%,9.61%,3.65,4.02,22.33%,11.97%,42.34%,2.46,0.15,hold,331.34375
OFSS,Midcap,"9,299.00",35.12,0.46,28.61,262.84,"6,381.00","13,220.00",9.22%,6.89%,33.90%,44.56%,5.48,6.10,30.74%,19.61%,203.77%,n/a,0.00,buy,11400.0
PERSISTENT,Midcap,"6,061.25",71.06,0.73,49.17,85.30,"3,232.05","6,788.90",19.17%,27.23%,11.66%,16.23%,1.55,1.89,24.51%,12.43%,75.02%,15.26,0.08,hold,6117.706
PIIND,Midcap,"3,373.30",28.80,0.68,36.12,117.02,"3,248.00","4,804.05",10.02%,18.69%,22.39%,27.62%,2.73,3.46,20.26%,10.77%,34.62%,n/a,0.02,buy,4418.963
OBEROIRLTY,Midcap,"1,696.65",23.74,0.67,28.67,70.97,"1,273.60","2,343.65",31.59%,59.41%,47.34%,59.96%,0.68,3.89,14.79%,7.78%,60.15%,4.14,0.14,hold,2067.75
INDUSTOWER,Midcap,350.35,9.34,0.35,49.95,37.37,206.35,460.35,4.87%,80.45%,33.82%,60.94%,1.00,1.03,25.07%,10.71%,68.10%,n/a,n/a,hold,409.5
HDFCAMC,Midcap,"3,877.80",33.69,0.75,36.40,110.24,"3,406.30","4,864.00",31.73%,32.39%,60.80%,81.00%,27.16,27.32,29.47%,22.04%,31.18%,11.68,n/a,buy,4717.8
CGPOWER,Midcap,595.45,102.21,1.39,36.83,9.43,420.25,874.70,17.00%,31.84%,16.38%,12.97%,1.19,1.71,30.10%,11.48%,71.79%,25.80,0.01,buy,773.0
SUZLON,Midcap,50.23,71.45,1.37,31.33,0.70,35.50,86.04,32.82%,52.73%,12.24%,15.29%,0.72,1.71,23.70%,8.70%,239.43%,14.91,0.06,buy,75.0
IDEA,Midcap,8.89,n/a,0.64,54.71,-4.92,6.61,19.18,0.48%,Data not found,-66.28%,25.50%,0.32,0.64,-,-1.52%,27.33%,n/a,n/a,hold,8.04545
SUPREMEIND,Midcap,"3,546.30",44.09,0.78,25.42,80.43,"3,528.05","6,460.00",7.22%,-4.89%,9.80%,14.22%,1.41,2.58,22.49%,12.87%,3.47%,8.49,0.01,buy,4763.6665
IDFCFIRSTB,Midcap,56.73,23.66,0.94,30.81,2.65,56.43,86.10,8.74%,-40.63%,Data not found,Data not found,Data not found,Data not found,5.87%,1.10%,-26.41%,n/a,n/a,buy,69.52632
AUBANK,Midcap,594.65,20.76,0.96,43.40,27.14,534.45,755.40,33.44%,14.67%,Data not found,Data not found,Data not found,Data not found,13.04%,1.54%,-20.98%,2.61,n/a,buy,667.2174
